<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
the	42662
of	25818
and	21991
to	17731
a	14727
in	14078
is	10245
The	6980
for	6461
that	6078
with	5252
on	5137
are	4220
was	3810
be	3732
as	3661
by	3413
it	3398
I	3318
you	3258
from	2856
have	2832
this	2756
at	2639
can	2503
has	2496
an	2468
or	2430
will	2061
not	2053
his	1819
were	1762
which	1727
he	1693
but	1630
their	1628
In	1625
more	1552
one	1501
they	1491
your	1482
we	1454
all	1423
its	1379
This	1359
also	1316
said	1286
been	1218
had	1203
It	1199
time	1186
about	1167
A	1142
out	1124
into	1115
my	1103
up	1100
new	1093
so	1082
system	1075
some	1068
when	1055
people	1046
who	1008
other	987
than	976
like	907
her	901
two	892
do	856
only	856
our	842
there	840
would	836
paper	824
them	821
used	797
no	796
after	784
China	776
first	765
method	760
He	759
But	748
what	742
use	735
should	733
most	727
if	724
between	720
many	713
me	709
years	705
could	699
very	698
We	694
And	686
To	686
may	676
such	667
over	661
how	648
make	644
good	635
high	625
just	619
work	616
because	616
get	604
him	602
these	593
she	593
Chinese	591
through	586
If	570
water	566
different	555
development	546
well	539
even	537
then	536
any	530
using	525
now	523
life	521
You	510
made	510
year	510
study	502
see	494
day	485
need	485
data	483
back	482
way	482
world	481
process	476
before	471
control	469
still	468
know	463
us	463
model	457
those	453
When	452
where	446
design	443
take	442
three	442
They	437
down	433
says	430
last	429
results	427
part	426
much	421
each	421
during	417
As	414
go	413
long	411
effect	406
research	404
same	403
being	399
based	396
both	396
must	393
information	387
For	386
under	384
Mr	383
think	383
found	376
There	375
important	374
technology	370
while	369
want	365
around	364
quality	359
right	356
own	356
analysis	351
off	351
too	348
application	347
great	346
power	344
set	340
So	340
find	337
number	334
company	334
main	332
help	332
group	331
business	330
say	327
structure	326
small	326
put	322
Objective	322
best	321
home	319
little	316
area	314
without	314
problem	312
man	311
come	311
every	306
don't	305
government	298
show	298
treatment	297
patients	297
become	294
city	292
At	291
better	288
love	288
always	287
market	287
order	285
form	284
against	283
service	283
example	282
did	281
value	280
another	279
school	279
never	278
it's	277
